scheme_code,scheme_name,Risk
135767, Reliance Fixed Horizon Fund XXIX- Series 16- Direct Plan-Growth Option,Low to Moderate
135768, Reliance Fixed Horizon Fund XXIX- Series 16- Direct Plan-Dividend Payout Option,Low to Moderate
135770, Reliance Fixed Horizon Fund XXIX- Series 16- Growth Option,Low to Moderate
135781, Mirae Asset Tax Saver Fund-Direct Plan -Growth,Low to Moderate
135782, Mirae Asset Tax Saver Fund Direct IDCW,Low to Moderate
135783, Mirae Asset Tax Saver Fund Regular IDCW,Low to Moderate
135784, Mirae Asset Tax Saver Fund-Regular Plan-Growth,Low to Moderate
135789, TATA Banking & Financial Services Fund Direct Plan - Payout of Income Distribution cum capital withdrawal option ,Low to Moderate
135790, TATA Banking & Financial Services Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ,Low to Moderate
135791, TATA Banking & Financial Services Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ,Low to Moderate
135792, TATA Banking & Financial Services Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option ,Low to Moderate
135793, Tata Banking And Financial Services Fund-Direct Plan-Growth,Low to Moderate
135794, Tata Banking And Financial Services Fund-Regular Plan-Growth,Low to Moderate
135795, TATA Digital India Fund Direct Plan - Payout of Income Distribution cum capital withdrawal option ,Low to Moderate
135796, TATA Digital India Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ,Low to Moderate
135797, Tata Digital India Fund-Regular Plan-Growth,Low to Moderate
135798, TATA Digital India Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option ,Low to Moderate
135799, TATA Digital India Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ,Low to Moderate
135800, Tata Digital India Fund-Direct Plan-Growth,Low to Moderate
135801, TATA India Consumer Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option ,Low to Moderate
135802, TATA India Consumer Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option,Low to Moderate
135803, TATA India Consumer Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ,Low to Moderate
135804, Tata India Consumer Fund-Regular Plan-Growth,Low to Moderate
135805, Tata India Consumer Fund-Direct Plan-Growth,Low to Moderate
135806, TATA India Consumer Fund Direct Plan - Payout of Income Distribution cum capital withdrawal option ,Low to Moderate
135807, TATA India Pharma & Health Care Fund Direct Plan - Payout of Income Distribution cum capital withdrawal option ,Low to Moderate
135808, TATA India Pharma & Healthcare Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option,Low to Moderate
135809, TATA India Pharma & Health Care Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ,Low to Moderate
135810, Tata India Pharma & Healthcare Fund-Direct Plan-Growth,Low to Moderate
135811, TATA India Pharma & Healthcare Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ,Low to Moderate
135812, Tata India Pharma & Healthcare Fund-Regular Plan-Growth,Low to Moderate
135813, Tata Resources & Energy Fund-Direct Plan-Growth,Low to Moderate
135814, TATA Resources & Energy Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ,Low to Moderate
135815, Tata Resources & Energy Fund-Regular Plan-Growth,Low to Moderate
135816, TATA Resources & Energy Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option ,Low to Moderate
135817, TATA Resources & Energy Fund Direct Plan - Payout of Income Distribution cum capital withdrawal option ,Low to Moderate
135818, TATA Resources & Energy Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ,Low to Moderate
135839, HDFC FMP 1111D November 2015 (1) - Direct Option - Growth Option,Low to Moderate
135840, HDFC FMP 1111D November 2015 (1) - Direct Option - Quarterly Dividend Option,Low to Moderate
135841, HDFC FMP 1111D November 2015 (1) - Regular Option - Growth Option,Low to Moderate
135842, HDFC FMP 1111D November 2015 (1) - Regular Option - Dividend Option,Low to Moderate
135843, HDFC FMP 1111D November 2015 (1) - Regular Option - Quarterly Dividend Option,Low to Moderate
135844, HDFC FMP 1111D November 2015 (1) - Direct Option - Dividend Option,Low to Moderate
135845, ICICI Prudential Fixed Maturity Plan - Series 78 - 1212 Days Plan A Direct Plan Dividend Option,Low to Moderate
135846, ICICI Prudential Fixed Maturity Plan - Series 78 - 1212 Days Plan A Cumulative Option,Low to Moderate
135847, ICICI Prudential Fixed Maturity Plan - Series 78 - 1212 Days Plan A Direct Plan Cumulative Option,Low to Moderate
135848, ICICI Prudential Fixed Maturity Plan - Series 78 - 1212 Days Plan A Dividend Option,Low to Moderate
135849, ICICI Prudential Capital Protection Oriented Fund - Series IX - 1195 Days Plan C Direct Plan Cumulative Option,Low to Moderate
135850, ICICI Prudential Capital Protection Oriented Fund - Series IX - 1195 Days Plan C Direct Plan Dividend Option,Low to Moderate
135851, ICICI Prudential Capital Protection Oriented Fund - Series IX - 1195 Days Plan C Cumulative Option,Low to Moderate
135852, ICICI Prudential Capital Protection Oriented Fund - Series IX - 1195 Days Plan C Dividend Option,Low to Moderate
135853, HDFC NIFTY 50 Exchange Traded Fund - Growth Plan,Low to Moderate
135854, HDFC Sensex Exchange Traded Fund - Growth Plan,Low to Moderate
135859, Edelweiss ETF - Nifty Bank,Low to Moderate
135860, UTI - Dual Advantage Fixed Term Series II-IV (1997 Days) - Regular Plan - Growth Option,Low to Moderate
135861, UTI Dual Advantage Fixed Term Fund Series II-IV (1997 Days) - Direct Plan - IDCW,Low to Moderate
135862, UTI Dual Advantage Fixed Term Fund Series II-IV (1997 Days) - Regular Plan - IDCW,Low to Moderate
135863, UTI - Dual Advantage Fixed Term Series II-IV (1997 Days) - Direct Plan - Growth Option,Low to Moderate
135864, Reliance Fixed Horizon Fund XXIX- Series 18- Growth Option,Low to Moderate
135865, Reliance Fixed Horizon Fund XXIX- Series 18- Dividend Payout Option,Low to Moderate
135866, Reliance Fixed Horizon Fund XXIX- Series 18- Direct Plan-Growth Option,Low to Moderate
135867, Reliance Fixed Horizon Fund XXIX- Series 18- Direct Plan-Dividend Payout Option,Low to Moderate
135884, Reliance Fixed Horizon Fund XXIX- Series 19- Growth Option,Low to Moderate
135885, Reliance Fixed Horizon Fund XXIX- Series 19- Direct Plan-Growth Option,Low to Moderate
135886, Reliance Fixed Horizon Fund XXIX- Series 19- Direct Plan-Dividend Payout Option,Low to Moderate
135887, Reliance Fixed Horizon Fund XXIX- Series 19- Dividend Payout Option,Low to Moderate
135914, IDFC Corporate Bond Fund - Regular Growth,Low to Moderate
135915, IDFC Corporate Bond Fund - Regular Periodic IDCW,Low to Moderate
135916, IDFC Corporate Bond Fund - Direct Growth,Low to Moderate
135917, IDFC Corporate Bond Fund - Direct Periodic IDCW,Low to Moderate
135924, ICICI Prudential Multiple Yield Fund - Series 10 - 1825 Days Plan B Direct Plan Cumulative Option,Low to Moderate
135925, ICICI Prudential Multiple Yield Fund - Series 10 - 1825 Days Plan B Dividend Option,Low to Moderate
135926, ICICI Prudential Multiple Yield Fund - Series 10 - 1825 Days Plan B Direct Plan Dividend Option,Low to Moderate
135927, ICICI Prudential Multiple Yield Fund - Series 10 - 1825 Days Plan B Cumulative Option,Low to Moderate
135928, ICICI Prudential Fixed Maturity Plan - Series 78 - 1190 Days Plan C Direct Plan Cumulative Option,Low to Moderate
135929, ICICI Prudential Fixed Maturity Plan - Series 78 - 1190 Days Plan C Direct Plan Dividend Option,Low to Moderate
135930, ICICI Prudential Fixed Maturity Plan - Series 78 - 1190 Days Plan C Cumulative Option,Low to Moderate
135931, ICICI Prudential Fixed Maturity Plan - Series 78 - 1190 Days Plan C Dividend Option,Low to Moderate
135938, Reliance Fixed Horizon Fund XXIX- Series 20- Growth Option,Low to Moderate
135939, Reliance Fixed Horizon Fund XXIX- Series 20- Dividend Payout Option,Low to Moderate
135941, Reliance Fixed Horizon Fund XXIX- Series 20- Direct Plan-Growth Option,Low to Moderate
135952, HDFC FMP 1105D December 2015 (1) - Regular Option - Dividend Option,Low to Moderate
135953, HDFC FMP 1105D December 2015 (1) - Direct Option - Growth Option,Low to Moderate
135954, HDFC FMP 1105D December 2015 (1) - Direct Option - Quarterly Dividend Option,Low to Moderate
135955, HDFC FMP 1105D December 2015 (1) - Regular Option - Quarterly Dividend Option,Low to Moderate
135956, HDFC FMP 1105D December 2015 (1) - Direct Option - Dividend Option,Low to Moderate
135957, HDFC FMP 1105D December 2015 (1) - Regular Option - Growth Option,Low to Moderate
135962, UTI Long Term Advantage Fund Series III - Direct Plan - Growth Option,Low to Moderate
135963, UTI Long Term Advantage Fund Series III - Regular Plan - IDCW,Low to Moderate
135964, UTI Long Term Advantage Fund Series III - Regular Plan - Growth Option,Low to Moderate
135965, UTI Long Term Advantage Fund Series III - Direct Plan - IDCW,Low to Moderate
135972, ICICI Prudential Capital Protection Oriented Fund - Series IX - 1378 Days Plan D Direct Plan Cumulative Option,Low to Moderate
135973, ICICI Prudential Capital Protection Oriented Fund - Series IX - 1378 Days Plan D Direct Plan Dividend Option,Low to Moderate
135974, ICICI Prudential Capital Protection Oriented Fund - Series IX - 1378 Days Plan D Cumulative Option,Low to Moderate
135975, ICICI Prudential Capital Protection Oriented Fund - Series IX - 1378 Days Plan D Dividend Option,Low to Moderate
135976, LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Quarterly)-Direct Plan-IDCW Reinvestment,Low to Moderate
135977, LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Quarterly)-Direct Plan-IDCW Reinvestment,Low to Moderate
135978, LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Quarterly)-Direct Plan-IDCW Reinvestment,Low to Moderate
135979, LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Quarterly)-Regular Plan-IDCW Reinvestment,Low to Moderate
135980, LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Quarterly)-Direct Plan-IDCW Reinvestment,Low to Moderate
135981, LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Quarterly)-Regular Plan-IDCW Reinvestment,Low to Moderate
135982, LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Quarterly)-Regular Plan-IDCW Reinvestment,Low to Moderate
135983, LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Quarterly)-Regular Plan-IDCW Reinvestment,Low to Moderate
135992, ICICI Prudential Fixed Maturity Plan - Series 78 - 1190 Days Plan E Direct Plan Cumulative Option,Low to Moderate
135993, ICICI Prudential Fixed Maturity Plan - Series 78 - 1190 Days Plan E Direct Plan Dividend Option,Low to Moderate
135994, ICICI Prudential Fixed Maturity Plan - Series 78 - 1190 Days Plan E Dividend Option,Low to Moderate
135995, ICICI Prudential Fixed Maturity Plan - Series 78 - 1190 Days Plan E Cumulative Option,Low to Moderate
135996, ICICI Prudential Business Cycle Fund - Series 3 Cumulative option,Low to Moderate
135997, ICICI Prudential Business Cycle Fund - Series 3 Dividend option,Low to Moderate
135998, ICICI Prudential Business Cycle Fund - Series 3 Direct Plan Cumulative option,Low to Moderate
135999, ICICI Prudential Business Cycle Fund - Series 3 Direct Plan Dividend option,Low to Moderate
136000, Reliance Fixed Horizon Fund XXX- Series 1 -Direct Plan- Growth Option,Low to Moderate
136001, Reliance Fixed Horizon Fund XXX- Series 1 -Growth Option,Low to Moderate
136002, Reliance Fixed Horizon Fund XXX- Series 1 -Direct Plan- Dividend Payout Option,Low to Moderate
136003, Reliance Fixed Horizon Fund XXX- Series 1 - Dividend Payout Option,Low to Moderate
136004, SBI Long Term Advantage Fund - Series III - Regular Plan - Growth,Low to Moderate
136005, SBI Long Term Advantage Fund - Series III - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
136006, SBI Long Term Advantage Fund - Series III - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
136007, SBI Long Term Advantage Fund - Series III - Direct Plan - Growth,Low to Moderate
136022, HDFC FMP 1183D January 2016 (1) - Direct Option - Dividend Option,Low to Moderate
136023, HDFC FMP 1183D January 2016 (1) - Direct Option - Growth Option,Low to Moderate
136024, HDFC FMP 1183D January 2016 (1) - Direct Option - Quarterly Dividend Option,Low to Moderate
136025, HDFC FMP 1183D January 2016 (1) - Regular Option - Dividend Option,Low to Moderate
136026, HDFC FMP 1183D January 2016 (1) - Regular Option - Growth Option,Low to Moderate
136027, HDFC FMP 1183D January 2016 (1) - Regular Option - Quarterly Dividend Option,Low to Moderate
136028, Reliance Fixed Horizon Fund XXX- Series 2 -Direct Plan- Dividend Payout Option,Low to Moderate
136029, Reliance Fixed Horizon Fund XXX- Series 2 - Growth Option,Low to Moderate
136030, Reliance Fixed Horizon Fund XXX- Series 2 - Dividend Payout Option,Low to Moderate
136031, Reliance Fixed Horizon Fund XXX- Series 2 -Direct Plan- Growth Option,Low to Moderate
136046, ICICI Prudential Fixed Maturity Plan - Series 78 - 1185 Days Plan F Direct Plan Cumulative Option,Low to Moderate
136047, ICICI Prudential Fixed Maturity Plan - Series 78 - 1185 Days Plan F Cumulative Option,Low to Moderate
136048, ICICI Prudential Fixed Maturity Plan - Series 78 - 1185 Days Plan F Dividend Option,Low to Moderate
136049, ICICI Prudential Fixed Maturity Plan - Series 78 - 1185 Days Plan F Direct Plan Dividend Option,Low to Moderate
136056, Reliance Fixed Horizon Fund XXX-Series 3- Growth Option,Low to Moderate
136057, Reliance Fixed Horizon Fund XXX-Series 3- Direct Plan-Dividend Payout Option,Low to Moderate
136058, Reliance Fixed Horizon Fund XXX-Series 3- Direct Plan-Growth Option,Low to Moderate
136059, Reliance Fixed Horizon Fund XXX-Series 3- Dividend Payout Option,Low to Moderate
136076, HDFC FMP 1176D January 2016 (1) - Direct Option - Dividend Option,Low to Moderate
136077, HDFC FMP 1176D January 2016 (1) - Direct Option - Growth Option,Low to Moderate
136078, HDFC FMP 1176D January 2016 (1) - Direct Option - Quarterly Dividend Option,Low to Moderate
136079, HDFC FMP 1176D January 2016 (1) - Regular Option - Dividend Option,Low to Moderate
136080, HDFC FMP 1176D January 2016 (1) - Regular Option - Growth Option,Low to Moderate
136081, HDFC FMP 1176D January 2016 (1) - Regular Option - Quarterly Dividend Option,Low to Moderate
136082, Kotak FMP Series 185 - Regular Dividend,Low to Moderate
136083, Kotak FMP Series 185 - Direct Growth,Low to Moderate
136084, Kotak FMP Series 185 - Regular Growth,Low to Moderate
136090, HDFC Retirement Savings Fund - Equity Plan - Growth Option,Low to Moderate
136094, HDFC Retirement Savings Fund - Equity Plan - Growth Option - Direct Plan,Low to Moderate
136106, HDFC DAF - II - 1160D January 2016 - Direct Option - Dividend Option,Low to Moderate
136107, HDFC DAF - II - 1160D January 2016 - Direct Option - Growth Option,Low to Moderate
136108, HDFC DAF - II - 1160D January 2016 - Regular Option - Dividend Option,Low to Moderate
136109, HDFC DAF - II - 1160D January 2016 - Regular Option - Growth Option,Low to Moderate
136110, UTI Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,Low to Moderate
136111, Invesco India Ultra Short Term Fund - Daily IDCW (Reinvestment),Low to Moderate
136112, Invesco India Ultra Short Term Fund - Direct Plan - Daily IDCW (Reinvestment),Low to Moderate
136113, ICICI Prudential Equity & Debt Fund - Annual IDCW,Low to Moderate
136114, ICICI Prudential Equity & Debt Fund - Direct Plan - Annual IDCW,Low to Moderate
136115, HDFC FMP 1167D January 2016 (1) - Regular Option - Growth Option,Low to Moderate
136116, HDFC FMP 1167D January 2016 (1) - Direct Option - Quarterly Option,Low to Moderate
136117, HDFC FMP 1167D January 2016 (1) - Regular Option - Dividend Option,Low to Moderate
136118, HDFC FMP 1167D January 2016 (1) - Regular Option - Quarterly Option,Low to Moderate
136119, HDFC FMP 1167D January 2016 (1) - Direct Option - Dividend Option,Low to Moderate
136120, HDFC FMP 1167D January 2016 (1) - Direct Option - Growth Option,Low to Moderate
136121, UTI Dual Advantage Fixed Term Fund Series II-V (1997 Days) - Regular Plan - IDCW,Low to Moderate
136122, UTI - Dual Advantage Fixed Term Series II-V (1997 Days) - Regular Plan - Growth Option,Low to Moderate
136123, UTI Dual Advantage Fixed Term Fund Series II-V (1997 Days) - Direct Plan - IDCW,Low to Moderate
136124, UTI - Dual Advantage Fixed Term Series II-V (1997 Days) - Direct Plan - Growth Option,Low to Moderate
136125, Reliance Fixed Horizon Fund XXX- Series 4 -Direct Plan- Dividend Payout Option,Low to Moderate
136126, Reliance Fixed Horizon Fund XXX- Series 4 -Dividend Payout Option,Low to Moderate
136127, Reliance Fixed Horizon Fund XXX- Series 4 -Direct Plan- Growth Option,Low to Moderate
136128, Reliance Fixed Horizon Fund XXX- Series 4 -Growth Option,Low to Moderate
136133, Kotak FMP Series 186 - Regular Dividend,Low to Moderate
136134, Kotak FMP Series 186 - Regular Growth,Low to Moderate
136135, Kotak FMP Series 186 - Direct Growth,Low to Moderate
136159, HDFC FMP 1155D February 2016 (1) - Regular Option - Dividend Option,Low to Moderate
136160, HDFC FMP 1155D February 2016 (1) - Regular Option - Growth Option,Low to Moderate
136161, HDFC FMP 1155D February 2016 (1) - Regular Option - Quarterly Dividend Option,Low to Moderate
136162, HDFC FMP 1155D February 2016 (1) - Direct Option - Growth Option,Low to Moderate
136163, HDFC FMP 1155D February 2016 (1) - Direct Option - Quarterly Dividend Option,Low to Moderate
136164, HDFC FMP 1155D February 2016 (1) - Direct Option - Dividend Option,Low to Moderate
136170, Reliance Fixed Horizon Fund XXX- Series 5- Growth Option,Low to Moderate
136171, Reliance Fixed Horizon Fund XXX- Series 5- Dividend Payout Option,Low to Moderate
136172, Reliance Fixed Horizon Fund XXX- Series 5- Direct Plan- Growth Option,Low to Moderate
136173, Reliance Fixed Horizon Fund XXX- Series 5- Direct Plan-Dividend Payout Option,Low to Moderate
136174, HDFC FMP 1168D February 2016 (1) - Direct Option - Growth Option,Low to Moderate
136175, HDFC FMP 1168D February 2016 (1) - Regular Option - Quarterly Dividend Option,Low to Moderate
136176, HDFC FMP 1168D February 2016 (1) - Direct Option - Dividend Option,Low to Moderate
136179, HDFC FMP 1168D February 2016 (1) - Regular Option - Growth Option,Low to Moderate
136180, ICICI Prudential India Recovery Fund - Series 4 Cumulative Option,Low to Moderate
136181, ICICI Prudential India Recovery Fund - Series 4 Direct Plan Cumulative Option,Low to Moderate
136182, ICICI Prudential India Recovery Fund - Series 4 Direct Plan Dividend Option,Low to Moderate
136183, ICICI Prudential India Recovery Fund - Series 4 Dividend Option,Low to Moderate
136220, ICICI Prudential Fixed Maturity Plan - Series 78 - 95 Days Plan K Cumulative Option,Low to Moderate
136221, ICICI Prudential Fixed Maturity Plan - Series 78 - 95 Days Plan K Direct Plan Cumulative Option,Low to Moderate
136222, ICICI Prudential Fixed Maturity Plan - Series 78 - 95 Days Plan K Dividend Option,Low to Moderate
136223, ICICI Prudential Fixed Maturity Plan - Series 78 - 95 Days Plan K Direct Plan Dividend Option,Low to Moderate
136224, ICICI Prudential Fixed Maturity Plan - Series 78 - 1170 Days Plan I Cumulative Option,Low to Moderate
136225, ICICI Prudential Fixed Maturity Plan - Series 78 - 1170 Days Plan I Dividend Option,Low to Moderate
136226, ICICI Prudential Fixed Maturity Plan - Series 78 - 1170 Days Plan I Direct Plan Cumulative Option,Low to Moderate
136227, ICICI Prudential Fixed Maturity Plan - Series 78 - 1170 Days Plan I Direct Plan Dividend Option,Low to Moderate
136228, ICICI Prudential Fixed Maturity Plan - Series 78 - 1168 Days Plan J Cumulative Option,Low to Moderate
136229, ICICI Prudential Fixed Maturity Plan - Series 78 - 1168 Days Plan J Dividend Option,Low to Moderate
136230, ICICI Prudential Fixed Maturity Plan - Series 78 - 1168 Days Plan J Direct Plan Cumulative Option,Low to Moderate
136231, ICICI Prudential Fixed Maturity Plan - Series 78 - 1168 Days Plan J Direct Plan Dividend Option,Low to Moderate
136233, Reliance Fixed Horizon Fund XXX- Series 6- Direct Plan-Growth Option,Low to Moderate
136234, Reliance Fixed Horizon Fund XXX- Series 6- Direct Plan-Dividend Payout Option,Low to Moderate
136235, Reliance Fixed Horizon Fund XXX- Series 6- Growth Option,Low to Moderate
136236, ICICI Prudential Fixed Maturity Plan - Series 78 - 188 Days Plan L Dividend Option,Low to Moderate
136237, ICICI Prudential Fixed Maturity Plan - Series 78 - 188 Days Plan L Direct Plan Dividend Option,Low to Moderate
136238, ICICI Prudential Fixed Maturity Plan - Series 78 - 188 Days Plan L Direct Plan Cumulative Option,Low to Moderate
136239, ICICI Prudential Fixed Maturity Plan - Series 78 - 188 Days Plan L Cumulative Option,Low to Moderate
136246, Reliance Dual Advantage Fixed Tenure Fund IX- Plan A- Dividend Payout Option,Low to Moderate
136247, Reliance Dual Advantage Fixed Tenure Fund IX- Plan A- Direct Plan-Dividend Payout Option,Low to Moderate
136248, Reliance Dual Advantage Fixed Tenure Fund IX- Plan A- Growth Option,Low to Moderate
136249, Reliance Dual Advantage Fixed Tenure Fund IX- Plan A- Direct Plan-Growth Option,Low to Moderate
136250, HDFC FMP 1148D February 2016 (1) - Regular Option - Dividend Option,Low to Moderate
136251, HDFC FMP 1148D February 2016 (1) - Regular Option - Growth Option,Low to Moderate
136252, HDFC FMP 1148D February 2016 (1) - Regular Option - Quarterly Dividend Option,Low to Moderate
136253, HDFC FMP 1148D February 2016 (1) - Direct Option - Dividend Option,Low to Moderate
136254, HDFC FMP 1148D February 2016 (1) Direct Option - Growth Option,Low to Moderate
136255, HDFC FMP 1148D February 2016 (1) Direct Option - Quarterly Dividend Option,Low to Moderate
136284, Kotak Capital Protection Oriented Scheme Series 3 - Direct Growth,Low to Moderate
136286, Kotak Capital Protection Oriented Scheme Series 3 Regular Growth,Low to Moderate
136287, Kotak Capital Protection Oriented Scheme Series 3 Regular Dividend Payout,Low to Moderate
136288, HDFC FMP 1161D February 2016 (1)-Direct Option-Dividend Option,Low to Moderate
136289, HDFC FMP 1161D February 2016 (1)-Direct Option-Quarterly Dividend Option,Low to Moderate
136290, HDFC FMP 1161D February 2016 (1)-Regular Option-Dividend Option,Low to Moderate
136291, HDFC FMP 1161D February 2016 (1)-Regular Option-Growth Option,Low to Moderate
136292, HDFC FMP 1161D February 2016 (1)-Direct Option-Growth Option,Low to Moderate
136293, HDFC FMP 1161D February 2016 (1)-Regular Option-Quarterly Dividend Option,Low to Moderate
136294, ICICI Prudential Fixed Maturity Plan - Series 78 -1150 Days Plan N Cumulative Option,Low to Moderate
136295, ICICI Prudential Fixed Maturity Plan - Series 78 -1150 Days Plan N Direct Plan Cumulative Option,Low to Moderate
136296, ICICI Prudential Fixed Maturity Plan - Series 78 -1150 Days Plan N Dividend Option,Low to Moderate
136297, ICICI Prudential Fixed Maturity Plan - Series 78 -1150 Days Plan N Direct Plan Dividend Option,Low to Moderate
136298, ICICI Prudential Fixed Maturity Plan - Series 78 - 95 Days Plan M Direct Plan Dividend Option,Low to Moderate
136299, ICICI Prudential Fixed Maturity Plan - Series 78 -95 Days Plan M Cumulative Option,Low to Moderate
136300, ICICI Prudential Fixed Maturity Plan - Series 78 -95 Days Plan M Direct Plan Cumulative Option,Low to Moderate
136301, ICICI Prudential Fixed Maturity Plan - Series 78 - 95 Days Plan M Dividend Option,Low to Moderate
136302, UTI Credit Risk Fund - Direct Plan - Flexi IDCW,Low to Moderate
136309, Reliance Fixed Horizon Fund XXX- Series 7- Growth Option,Low to Moderate
136311, Reliance Fixed Horizon Fund XXX- Series 7- Direct Plan-Growth Option,Low to Moderate
136313, Reliance Fixed Horizon Fund XXX- Series 8- Direct Plan- Dividen Payout Option,Low to Moderate
136314, Reliance Fixed Horizon Fund XXX- Series 8- Growth Option,Low to Moderate
136315, Reliance Fixed Horizon Fund XXX- Series 8- Direct Plan- Growth Option,Low to Moderate
136316, Reliance Fixed Horizon Fund XXX- Series 8- Dividend Payout Option,Low to Moderate
136327, Reliance Fixed Horizon Fund XXX- Series 9- Growth Option,Low to Moderate
136328, Reliance Fixed Horizon Fund XXX- Series 9- Dividend Payout Option,Low to Moderate
136329, Reliance Fixed Horizon Fund XXX- Series 9- Direct Plan-Growth Option,Low to Moderate
136330, Reliance Fixed Horizon Fund XXX- Series 9- Direct Plan-Dividend Payout Option,Low to Moderate
136345, UTI Treasury Advantage Fund - Regular Plan - Half-Yearly IDCW,Low to Moderate
136362, Kotak FMP Series 190 - Direct - Growth,Low to Moderate
136363, Kotak FMP Series 190 - Regular - Growth,Low to Moderate
136364, Kotak FMP Series 190 - Regular - Dividend Payout,Low to Moderate
136365, Kotak FMp Series 190 - Direct - Dividend Payout,Low to Moderate
136370, ICICI Prudential Capital Protection Oriented Fund - Series IX - 1325 Days Plan E Direct Plan Cumulative Option,Low to Moderate
136371, ICICI Prudential Capital Protection Oriented Fund - Series IX - 1325 Days Plan E Dividend Option,Low to Moderate
136372, ICICI Prudential Capital Protection Oriented Fund - Series IX - 1325 Days Plan E Cumulative Option,Low to Moderate
136373, ICICI Prudential Capital Protection Oriented Fund - Series IX - 1325 Days Plan E Direct Plan Dividend Option,Low to Moderate
136384, HDFC FMP 1148D February 2016 (2)-Regular Option-Growth Option,Low to Moderate
136385, HDFC FMP 1148D February 2016 (2)-Regular Option-Quarterly Dividend Option,Low to Moderate
136387, HDFC FMP 1148D February 2016 (2)-Direct Option-Growth Option,Low to Moderate
136388, HDFC FMP 1148D February 2016 (2)-Regular Option-Dividend Option,Low to Moderate
136389, HDFC FMP 1148D February 2016 (2)-Direct Option-Quarterly Dividend Option,Low to Moderate
136417, UTI Dual Advantage Fixed Term Fund Series III-I (1998 Days) - Regular Plan - IDCW,Low to Moderate
136418, UTI Dual Advantage Fixed Term Fund Series III-I (1998 Days) - Direct Plan - IDCW,Low to Moderate
136419, UTI - Dual Advantage Fixed Term Series III-I (1998 Days) - Direct Plan - Growth Option,Low to Moderate
136420, UTI - Dual Advantage Fixed Term Series III-I (1998 Days) - Regular Plan - Growth Option,Low to Moderate
136435, Reliance Fixed Horizon Fund XXX- Series 10- Direct Plan-Dividend Payout Option,Low to Moderate
136436, Reliance Fixed Horizon Fund XXX- Series 10- Growth Option,Low to Moderate
136438, Reliance Fixed Horizon Fund XXX- Series 10- Direct Plan-Growth Option,Low to Moderate
136439, HDFC FMP 1132D February 2016 (1) - Direct Option - Dividend Option,Low to Moderate
136441, HDFC FMP 1132D February 2016 (1) - Direct Option - Growth Option,Low to Moderate
136442, HDFC FMP 1132D February 2016 (1) - Regular Option - Growth Option,Low to Moderate
136443, HDFC FMP 1132D February 2016 (1) - Regular Option - Dividend Option,Low to Moderate
136444, HDFC FMP 1132D February 2016 (1) - Regular Option - Quarterly Dividend Option,Low to Moderate
136449, Reliance Fixed Horizon Fund XXX- Series 11- Growth Option,Low to Moderate
136450, Reliance Fixed Horizon Fund XXX- Series 11- Direct Plan-Dividend Payout Option,Low to Moderate
136451, Reliance Fixed Horizon Fund XXX- Series 11- Dividend Payout Option,Low to Moderate
136452, Reliance Fixed Horizon Fund XXX- Series 11- Direct Plan-Growth Option,Low to Moderate
136453, Reliance Fixed Horizon Fund XXX- Series 12- Direct Plan-Growth Option,Low to Moderate
136454, Reliance Fixed Horizon Fund XXX- Series 12- Direct Plan-Dividend Payout Option,Low to Moderate
136455, Reliance Fixed Horizon Fund XXX- Series 12- Growth Option,Low to Moderate
136456, Reliance Fixed Horizon Fund XXX- Series 12- Dividend Payout Option,Low to Moderate
136459, ICICI Prudential Fixed Maturity Plan - Series 78 - 1127 Days Plan R Dividend Option,Low to Moderate
136460, ICICI Prudential Fixed Maturity Plan - Series 78 - 1127 Days Plan R Direct Plan Dividend Option,Low to Moderate
136461, ICICI Prudential Fixed Maturity Plan - Series 78 - 1127 Days Plan R Direct Plan Cumulative Option,Low to Moderate
136462, ICICI Prudential Fixed Maturity Plan - Series 78 - 1127 Days Plan R Cumulative Option,Low to Moderate
136463, HDFC Retirement Savings Fund - Hybrid-Equity Plan - Growth Option,Low to Moderate
