scheme_code,scheme_name,Risk
100948, Franklin India Debt Hybrid Fund - Growth,Low to Moderate
100949, Franklin India Debt Hybrid Fund - Plan A - Monthly - IDCW,Low to Moderate
100950, Franklin India Debt Hybrid Fund - Plan A - Quarterly - IDCW,Low to Moderate
100952, ICICI Prudential MIP - Growth,Low to Moderate
100953, ICICI Prudential MIP - Dividend Monthly,Low to Moderate
100954, ICICI Prudential MIP - Dividend Quarterly,Low to Moderate
100955, ICICI Prudential MIP - Dividend Half Yearly,Low to Moderate
100966, Principal Multi Cap Growth Fund- Half Yearly Income Distribution CUM Capital Withdrawal Option,Low to Moderate
100967, Principal Multi Cap Growth Fund-Growth Option,Low to Moderate
100968, SBI DEBT HYBRID FUND - REGULAR PLAN - GROWTH,Low to Moderate
100997, HDFC Long Term Advantage Plan - IDCW Plan,Low to Moderate
100998, HDFC Long Term Advantage Plan - Growth Plan,Low to Moderate
100999, SBI Magnum Gilt Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
101001, SBI MAGNUM GILT FUND - REGULAR PLAN - GROWTH,Low to Moderate
101002, SBI MAGNUM CONSTANT MATURITY FUND - REGULAR PLAN - GROWTH,Low to Moderate
101003, SBI Magnum Constant Maturity Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
101042, Tata Gilt Securities Fund -Regular Plan- Growth Option,Low to Moderate
101044, Franklin India Floating Rate Fund - IDCW ,Low to Moderate
101048, Franklin India Floating Rate Fund - Growth Plan,Low to Moderate
101049, Tata Gilt Securities Fund - Regular Plan - Payout of IDCW Option,Low to Moderate
101065, quant Mid Cap Fund - Growth Option - Regular Plan,Low to Moderate
101066, quant Mid Cap Fund - IDCW Option - Regular Plan,Low to Moderate
101069, quant Absolute Fund-IDCW Option - Regular Plan,Low to Moderate
101070, quant Absolute Fund - Growth Option - Regular Plan,Low to Moderate
101071, quant Multi Asset Fund - IDCW Option - Regular Plan,Low to Moderate
101072, quant Multi Asset Fund-GROWTH OPTION - Regular Plan,Low to Moderate
101078, JM Liquid Fund (Regular) - Daily IDCW,Low to Moderate
101083, HDFC Gilt Fund - Growth Plan,Low to Moderate
101084, HDFC Gilt Fund - IDCW Plan,Low to Moderate
101098, ICICI Prudential Child Care Plan Study - Cumulative,Low to Moderate
101143, ICICI Prudential Multi-Asset Fund - IDCW,Low to Moderate
101144, ICICI Prudential Multi-Asset Fund - Growth,Low to Moderate
