scheme_code,scheme_name,Risk,nav,scheme_category,nfund_houseav,scheme_type,fund_house
103197, NIPPON INDIA TAX SAVER (ELSS) FUND - IDCW Option,nan,13.62000,Equity Scheme - ELSS,,Open Ended Schemes,Nippon India Mutual Fund
103215, SBI Flexicap Fund - REGULAR PLAN -Growth Option,nan,14.32000,Equity Scheme - Flexi Cap Fund,,Open Ended Schemes,SBI Mutual Fund
103216, SBI Flexicap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),nan,14.32000,Equity Scheme - Flexi Cap Fund,,Open Ended Schemes,SBI Mutual Fund
103225, quant Liquid Fund - Growth Option - Regular Plan,nan,10.26760,Debt Scheme - Liquid Fund,,Open Ended Schemes,quant Mutual Fund
103226, quant Liquid Fund-Daily IDCW Option - Regular Plan,nan,10.26760,Debt Scheme - Liquid Fund,,Open Ended Schemes,quant Mutual Fund
103227, quant Liquid Fund - Weekly IDCW Option - Regular Plan,nan,10.26760,Debt Scheme - Liquid Fund,,Open Ended Schemes,quant Mutual Fund
103228, quant Liquid Fund - Monthly IDCW Option - Regular Plan,nan,10.26760,Debt Scheme - Liquid Fund,,Open Ended Schemes,quant Mutual Fund
103233, Kotak Equity Opportunities Fund - Payout of Income Distribution cum capital withdrawal option,nan,18.60000,Equity Scheme - Large & Mid Cap Fund,,Open Ended Schemes,Kotak Mahindra Mutual Fund
103234, Kotak Equity Opportunities Fund - Growth,nan,26.49800,Equity Scheme - Large & Mid Cap Fund,,Open Ended Schemes,Kotak Mahindra Mutual Fund
103308, Aditya Birla Sun Life Focused Equity Fund -Regular - IDCW,nan,14.63170,Equity Scheme - Focused Fund,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
103309, Aditya Birla Sun Life Focused Equity Fund -Growth Option,nan,14.63170,Equity Scheme - Focused Fund,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
103312, ICICI Prudential Exports & Services Fund - Growth,nan,11.99000,Equity Scheme - Sectoral/ Thematic,,Open Ended Schemes,ICICI Prudential Mutual Fund
103313, ICICI Prudential Exports & Services Fund - IDCW,nan,11.99000,Equity Scheme - Sectoral/ Thematic,,Open Ended Schemes,ICICI Prudential Mutual Fund
103334, Principal Focused Multicap Fund-Half Yearly Income Distribution CUM Capital Withdrawal Option,nan,14.89000,Equity Scheme - Focused Fund,,Open Ended Schemes,Principal Mutual Fund
103335, Principal Focused Multicap Fund-Growth Option,nan,14.89000,Equity Scheme - Focused Fund,,Open Ended Schemes,Principal Mutual Fund
103338, Kotak Tax Saver-Scheme-Payout of Income Distribution cum capital withdrawal option,nan,13.25600,Equity Scheme - ELSS,,Open Ended Schemes,Kotak Mahindra Mutual Fund
103339, Kotak Tax Saver-Scheme-Growth,nan,13.25700,Equity Scheme - ELSS,,Open Ended Schemes,Kotak Mahindra Mutual Fund
103340, ICICI Prudential Liquid Fund - Growth,nan,10.22530,Debt Scheme - Liquid Fund,,Open Ended Schemes,ICICI Prudential Mutual Fund
103341, ICICI Prudential Liquid Fund -Monthly IDCW,nan,10.01180,Debt Scheme - Liquid Fund,,Open Ended Schemes,ICICI Prudential Mutual Fund
103342, ICICI Prudential Liquid Fund - Weekly IDCW,nan,10.01400,Debt Scheme - Liquid Fund,,Open Ended Schemes,ICICI Prudential Mutual Fund
103343, ICICI Prudential Liquid Fund - Daily IDCW,nan,10.00000,Debt Scheme - Liquid Fund,,Open Ended Schemes,ICICI Prudential Mutual Fund
103344, ICICI Prudential Liquid Fund - Institutional Option - I,nan,10.00380,Debt Scheme - Liquid Fund,,Open Ended Schemes,ICICI Prudential Mutual Fund
103347, DSP Liquidity Fund - Regular Plan - Growth,nan,1022.41630,Debt Scheme - Liquid Fund,,Open Ended Schemes,DSP Mutual Fund
103348, DSP Liquidity Fund - Regular Plan - IDCW - Weekly,nan,1000.78450,Debt Scheme - Liquid Fund,,Open Ended Schemes,DSP Mutual Fund
103349, DSP Liquidity Fund- Regular Plan - IDCW - Daily,nan,1000.20000,Debt Scheme - Liquid Fund,,Open Ended Schemes,DSP Mutual Fund
103360, Franklin India Smaller Companies Fund-Growth,nan,10.99000,Equity Scheme - Small Cap Fund,,Open Ended Schemes,Franklin Templeton Mutual Fund
103361, Franklin India Smaller Companies Fund - IDCW ,nan,10.99000,Equity Scheme - Small Cap Fund,,Open Ended Schemes,Franklin Templeton Mutual Fund
103389, CANARA ROBECO INFRASTRUCTURE FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),nan,13.43000,Equity Scheme - Sectoral/ Thematic,,Open Ended Schemes,Canara Robeco Mutual Fund
103390, CANARA ROBECO INFRASTRUCTURE FUND - REGULAR PLAN - GROWTH OPTION,nan,13.43000,Equity Scheme - Sectoral/ Thematic,,Open Ended Schemes,Canara Robeco Mutual Fund
103392, Sundaram Money Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),nan,10.09530,Debt Scheme - Liquid Fund,,Open Ended Schemes,Sundaram Mutual Fund
103393, Sundaram Money Fund Regular Plan - Quarterly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),nan,0.00000,Debt Scheme - Liquid Fund,,Open Ended Schemes,Sundaram Mutual Fund
103394, Sundaram Money Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),nan,10.25680,Debt Scheme - Liquid Fund,,Open Ended Schemes,Sundaram Mutual Fund
103395, Sundaram Money Fund Regular Plan - Fortnightly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),nan,0.00000,Debt Scheme - Liquid Fund,,Open Ended Schemes,Sundaram Mutual Fund
103396, Sundaram Money Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),nan,0.00000,Debt Scheme - Liquid Fund,,Open Ended Schemes,Sundaram Mutual Fund
103397, Sundaram Money Fund Regular Plan - Growth,nan,14.76010,Debt Scheme - Liquid Fund,,Open Ended Schemes,Sundaram Mutual Fund
103400, SBI Multi Asset Allocation Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),nan,10.12730,Hybrid Scheme - Multi Asset Allocation,,Open Ended Schemes,SBI Mutual Fund
103401, SBI Multi Asset Allocation Fund - Regular Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW),nan,10.09530,Hybrid Scheme - Multi Asset Allocation,,Open Ended Schemes,SBI Mutual Fund
103406, HSBC Infrastructure Equity Fund - IDCW,nan,11.50700,Equity Scheme - Sectoral/ Thematic,,Open Ended Schemes,HSBC Mutual Fund
103407, HSBC Infrastructure Equity Fund - Growth,nan,11.50700,Equity Scheme - Sectoral/ Thematic,,Open Ended Schemes,HSBC Mutual Fund
103408, SBI MULTI ASSET ALLOCATION FUND - REGULAR PLAN - GROWTH,nan,10.29550,Hybrid Scheme - Multi Asset Allocation,,Open Ended Schemes,SBI Mutual Fund
103409, SBI Multi Asset Allocation Fund - Regular Plan - Annual Income Distribution cum Capital Withdrawal Option (IDCW),nan,10.29500,Hybrid Scheme - Multi Asset Allocation,,Open Ended Schemes,SBI Mutual Fund
103475, Aditya Birla Sun Life Infrastructure Fund -  Regular - IDCW,nan,10.72000,Equity Scheme - Sectoral/ Thematic,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
103476, Aditya Birla Sun Life Infrastructure Fund-Growth,nan,10.72000,Equity Scheme - Sectoral/ Thematic,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
103490, Quantum Long Term Equity Value Fund - Direct Plan Growth Option,nan,10.29000,Equity Scheme - Value Fund,,Open Ended Schemes,Quantum Mutual Fund
103491, Quantum Long Term Equity Value Fund - Direct Plan IDCW,nan,10.29000,Equity Scheme - Value Fund,,Open Ended Schemes,Quantum Mutual Fund
103504, SBI BLUE CHIP FUND-REGULAR PLAN GROWTH,nan,10.94000,Equity Scheme - Large Cap Fund,,Open Ended Schemes,SBI Mutual Fund
103616, SBI Blue Chip Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),nan,10.93000,Equity Scheme - Large Cap Fund,,Open Ended Schemes,SBI Mutual Fund
103633, ICICI Prudential Money Market Fund Option - Growth,nan,10.04770,Debt Scheme - Money Market Fund,,Open Ended Schemes,ICICI Prudential Mutual Fund
103634, ICICI Prudential Money Market Fund Option - Daily IDCW,nan,10.00000,Debt Scheme - Money Market Fund,,Open Ended Schemes,ICICI Prudential Mutual Fund
103635, ICICI Prudential Money Market Fund Option - Weekly IDCW,nan,10.01360,Debt Scheme - Money Market Fund,,Open Ended Schemes,ICICI Prudential Mutual Fund
103636, ICICI Prudential Money Market Fund Option -Fortnightly IDCW,nan,0.00000,Debt Scheme - Money Market Fund,,Open Ended Schemes,ICICI Prudential Mutual Fund
103637, ICICI Prudential Money Market Fund Option - Monthly IDCW,nan,10.04120,Debt Scheme - Money Market Fund,,Open Ended Schemes,ICICI Prudential Mutual Fund
103678, Templeton India Equity Income Fund-Growth Plan,nan,9.75000,Equity Scheme - Dividend Yield Fund,,Open Ended Schemes,Franklin Templeton Mutual Fund
103679, Templeton India EQUITY INCOME FUND - IDCW ,nan,9.75000,Equity Scheme - Dividend Yield Fund,,Open Ended Schemes,Franklin Templeton Mutual Fund
103734, Quantum Liquid Fund - Direct Plan Growth Option,nan,10.00870,Debt Scheme - Liquid Fund,,Open Ended Schemes,Quantum Mutual Fund
103735, Quantum Liquid Fund - Direct Plan Monthly IDCW,nan,10.00870,Debt Scheme - Liquid Fund,,Open Ended Schemes,Quantum Mutual Fund
103736, Quantum Liquid Fund - Direct Plan Daily IDCW,nan,10.00000,Debt Scheme - Liquid Fund,,Open Ended Schemes,Quantum Mutual Fund
103743, Sundaram Rural and Consumption Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),nan,9.91300,Equity Scheme - Sectoral/ Thematic,,Open Ended Schemes,Sundaram Mutual Fund
103780, JM Arbitrage Fund (Regular) - Growth Option,nan,10.03000,Hybrid Scheme - Arbitrage Fund,,Open Ended Schemes,JM Financial Mutual Fund
103781, JM Arbitrage Fund (Regular) - IDCW ,nan,10.03000,Hybrid Scheme - Arbitrage Fund,,Open Ended Schemes,JM Financial Mutual Fund
103819, DSP Equity Opportunities Fund-Regular Plan - Growth,nan,49.51000,Equity Scheme - Large & Mid Cap Fund,,Open Ended Schemes,DSP Mutual Fund
103820, DSP Equity Opportunities Fund-Regular Plan - IDCW,nan,27.32000,Equity Scheme - Large & Mid Cap Fund,,Open Ended Schemes,DSP Mutual Fund
103883, SBI Long Term Equity Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),nan,47.03000,Equity Scheme - ELSS,,Open Ended Schemes,SBI Mutual Fund
103884, SBI Magnum Ultra Short Duration Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),nan,10.57450,Debt Scheme - Ultra Short Duration Fund,,Open Ended Schemes,SBI Mutual Fund
103885, Aditya Birla Sun Life Liquid Fund -Regular - IDCW,nan,100.14080,Debt Scheme - Liquid Fund,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
103953, Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),nan,11.68960,Equity Scheme - Focussed Fund,,Open Ended Schemes,Sundaram Mutual Fund
104074, UTI Arbitrage Fund - Regular Plan - IDCW,nan,10.02140,Hybrid Scheme - Arbitrage Fund,,Open Ended Schemes,UTI Mutual Fund
104075, UTI Arbitrage Fund - Regular Plan - Growth Option,nan,10.02140,Hybrid Scheme - Arbitrage Fund,,Open Ended Schemes,UTI Mutual Fund
104138, DSP Ultra Short Fund - Regular Plan - Growth,nan,1000.53220,Debt Scheme - Ultra Short Duration Fund,,Open Ended Schemes,DSP Mutual Fund
104139, DSP Ultra Short Fund - Regular Plan - IDCW - Weekly Reinvest,nan,,,,,
104140, DSP Ultra Short Fund - Regular Plan - IDCW - Daily Reinvest,nan,1000.20000,Debt Scheme - Ultra Short Duration Fund,,Open Ended Schemes,DSP Mutual Fund
104240, Taurus Liquid Fund-Dividend,nan,10.00620,Debt Scheme - Liquid Fund,,Open Ended Schemes,Taurus Mutual Fund
104241, Taurus Liquid Fund-Growth,nan,10.00620,Debt Scheme - Liquid Fund,,Open Ended Schemes,Taurus Mutual Fund
104271, JM Ultra Short Duration Fund - Growth option,nan,10.00170,Debt Scheme - Ultra Short Duration Fund,,Open Ended Schemes,JM Financial Mutual Fund
104272, JM Ultra Short Duration Fund - Daily Dividend,nan,10.00000,Debt Scheme - Ultra Short Duration Fund,,Open Ended Schemes,JM Financial Mutual Fund
104308, ICICI Prudential Liquid Fund - Half Yearly IDCW,nan,10.00850,Debt Scheme - Liquid Fund,,Open Ended Schemes,ICICI Prudential Mutual Fund
104331, Aditya Birla Sun Life Tax Plan - Regular Plan - Growth Option,nan,9.96000,Equity Scheme - ELSS,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
104342, HSBC Low Duration Fund - Regular - Daily IDCW,nan,10.00120,Debt Scheme - Low Duration Fund,,Open Ended Schemes,HSBC Mutual Fund
104343, HSBC Low Duration Fund - Regular - Weekly IDCW,nan,10.01200,Debt Scheme - Low Duration Fund,,Open Ended Schemes,HSBC Mutual Fund
104344, HSBC Low Duration Fund  - Growth,nan,10.01210,Debt Scheme - Low Duration Fund,,Open Ended Schemes,HSBC Mutual Fund
104348, HSBC Low Duration Fund - Monthly IDCW,nan,0.00000,Debt Scheme - Low Duration Fund,,Open Ended Schemes,HSBC Mutual Fund
104349, HSBC Low Duration Fund - Inst.Plus - Daily IDCW,nan,10.00120,Debt Scheme - Low Duration Fund,,Open Ended Schemes,HSBC Mutual Fund
104350, HSBC Low Duration Fund  - Regular - Growth,nan,10.01200,Debt Scheme - Low Duration Fund,,Open Ended Schemes,HSBC Mutual Fund
104351, HSBC Low Duration Fund - Daily IDCW ,nan,10.00120,Debt Scheme - Low Duration Fund,,Open Ended Schemes,HSBC Mutual Fund
104352, HSBC Low Duration Fund - Weekly IDCW,nan,10.01210,Debt Scheme - Low Duration Fund,,Open Ended Schemes,HSBC Mutual Fund
104429, HSBC Short Duration Fund - Weekly IDCW,nan,0.00000,Debt Scheme - Short Duration Fund,,Open Ended Schemes,HSBC Mutual Fund
104457, SBI Arbitrage Opportunities Fund - Regular Plan - Gr,nan,10.03400,Hybrid Scheme - Arbitrage Fund,,Open Ended Schemes,SBI Mutual Fund
104458, SBI Arbitrage Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),nan,10.03400,Hybrid Scheme - Arbitrage Fund,,Open Ended Schemes,SBI Mutual Fund
104481, DSP Midcap Fund - Regular Plan - Growth,nan,10.27900,Equity Scheme - Mid Cap Fund,,Open Ended Schemes,DSP Mutual Fund
104482, DSP Midcap Fund - Regular Plan - IDCW,nan,10.27900,Equity Scheme - Mid Cap Fund,,Open Ended Schemes,DSP Mutual Fund
104484, Invesco India Liquid Fund - Daily IDCW (Reinvestment),nan,10.00000,Debt Scheme - Liquid Fund,,Open Ended Schemes,Invesco Mutual Fund
104485, Invesco India Liquid Fund - Weekly IDCW (Reinvestment),nan,10.00590,Debt Scheme - Liquid Fund,,Open Ended Schemes,Invesco Mutual Fund
104486, Invesco India Liquid Fund - Growth,nan,10.00590,Debt Scheme - Liquid Fund,,Open Ended Schemes,Invesco Mutual Fund
104488, Invesco India Liquid Fund - Regular - Growth,nan,10.00570,Debt Scheme - Liquid Fund,,Open Ended Schemes,Invesco Mutual Fund
104489, Invesco India Liquid Fund - Regular - Weekly IDCW (Reinvestment),nan,10.00570,Debt Scheme - Liquid Fund,,Open Ended Schemes,Invesco Mutual Fund
104492, Invesco India Liquid Fund - Monthly IDCW (Payout / Reinvestment),nan,0.00000,Debt Scheme - Liquid Fund,,Open Ended Schemes,Invesco Mutual Fund
104513, quant Large & Mid Cap Fund - Growth Option,nan,0.00000,Equity Scheme - Large & Mid Cap Fund,,Open Ended Schemes,quant Mutual Fund
104514, quant Large & Mid Cap Fund - IDCW Option - Regular Plan,nan,0.00000,Equity Scheme - Large & Mid Cap Fund,,Open Ended Schemes,quant Mutual Fund
104515, quant Large & Mid Cap Fund - Bonus Option - Regular Plan,nan,0.00000,Equity Scheme - Large & Mid Cap Fund,,Open Ended Schemes,quant Mutual Fund
104523, SBI Magnum Equity ESG Fund- REGULAR PLAN - Growth,nan,27.47000,Equity Scheme - Sectoral/ Thematic,,Open Ended Schemes,SBI Mutual Fund
104559, CANARA ROBECO SAVINGS FUND - REGULAR PLAN - DAILY IDCW (Reinvestment),nan,10.26000,Debt Scheme - Low Duration Fund,,Open Ended Schemes,Canara Robeco Mutual Fund
104635, Invesco India Tax Plan - IDCW (Payout / Reinvestment),nan,10.13000,Equity Scheme - ELSS,,Open Ended Schemes,Invesco Mutual Fund
104636, Invesco India Tax Plan - Growth,nan,10.13000,Equity Scheme - ELSS,,Open Ended Schemes,Invesco Mutual Fund
104637, Nippon India Focused Equity Fund -Growth Plan -Growth Option,nan,10.15460,Equity Scheme - Focused Fund,,Open Ended Schemes,Nippon India Mutual Fund
104638, NIPPON INDIA FOCUSED EQUITY FUND - IDCW OPTION,nan,10.15460,Equity Scheme - Focused Fund,,Open Ended Schemes,Nippon India Mutual Fund
104681, ICICI Prudential Equity Arbitrage Fund - IDCW,nan,10.00000,Hybrid Scheme - Arbitrage Fund,,Open Ended Schemes,ICICI Prudential Mutual Fund
104683, ICICI Prudential Equity Arbitrage Fund - Growth,nan,10.00000,Hybrid Scheme - Arbitrage Fund,,Open Ended Schemes,ICICI Prudential Mutual Fund
104684, ICICI Prudential Equity - Arbitrage Fund-Institutional Growth Option,nan,10.00000,Hybrid Scheme - Arbitrage Fund,,Open Ended Schemes,ICICI Prudential Mutual Fund
104685, ICICI Prudential Balanced Advantage Fund - Growth,nan,10.00000,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,,Open Ended Schemes,ICICI Prudential Mutual Fund
104686, ICICI Prudential Balanced Advantage Fund - IDCW,nan,10.00000,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,,Open Ended Schemes,ICICI Prudential Mutual Fund
104706, HSBC Tax Saver Equity Fund - IDCW,nan,10.15590,Equity Scheme - ELSS,,Open Ended Schemes,HSBC Mutual Fund
104707, HSBC Tax Saver Equity Fund - Growth,nan,10.15590,Equity Scheme - ELSS,,Open Ended Schemes,HSBC Mutual Fund
104722, Invesco India Treasury Advantage Fund - Regular - Weekly IDCW (Reinvestment),nan,10.00180,Debt Scheme - Low Duration Fund,,Open Ended Schemes,Invesco Mutual Fund
104723, Invesco India Treasury Advantage Fund - Regular - Monthly IDCW (Reinvestment),nan,10.00180,Debt Scheme - Low Duration Fund,,Open Ended Schemes,Invesco Mutual Fund
104725, Invesco India Treasury Advantage Fund - Weekly IDCW (Payout / Reinvestment),nan,10.00200,Debt Scheme - Low Duration Fund,,Open Ended Schemes,Invesco Mutual Fund
104726, Invesco India Treasury Advantage Fund - Growth,nan,10.00200,Debt Scheme - Low Duration Fund,,Open Ended Schemes,Invesco Mutual Fund
104727, Invesco India Treasury Advantage Fund - Bonus,nan,0.00000,Debt Scheme - Low Duration Fund,,Open Ended Schemes,Invesco Mutual Fund
104728, Invesco India Treasury Advantage Fund - Regular - Growth,nan,10.00180,Debt Scheme - Low Duration Fund,,Open Ended Schemes,Invesco Mutual Fund
104729, Invesco India Treasury Advantage Fund - Monthly IDCW (Payout / Reinvestment),nan,0.00000,Debt Scheme - Low Duration Fund,,Open Ended Schemes,Invesco Mutual Fund
104762, SBI ONE INDIA FUND - GROWTH (PREVIOUSLY CLOSE ENDED UPTO 14/01/2010),nan,10.06000,Growth,,Open Ended Schemes,SBI Mutual Fund
104763, SBI ONE INDIA FUND - DIVIDEND (PREVIOUSLY CLOSE ENDED UPTO 14/01/2010),nan,10.06000,Growth,,Open Ended Schemes,SBI Mutual Fund
104772, DSP Tax Saver Fund - Regular Plan - Growth,nan,10.37400,Equity Scheme - ELSS,,Open Ended Schemes,DSP Mutual Fund
104773, DSP Tax Saver Fund - Regular Plan - IDCW,nan,10.37400,Equity Scheme - ELSS,,Open Ended Schemes,DSP Mutual Fund
104898, ICICI Prudential Multi-Asset Fund-Institutional Option - I,nan,9.99070,Hybrid Scheme - Multi Asset Allocation,,Open Ended Schemes,ICICI Prudential Mutual Fund
104907, Kotak Emerging Equity Scheme - Payout of Income Distribution cum capital withdrawal option,nan,9.99800,Equity Scheme - Mid Cap Fund,,Open Ended Schemes,Kotak Mahindra Mutual Fund
104908, Kotak Emerging Equity Scheme - Growth,nan,9.99800,Equity Scheme - Mid Cap Fund,,Open Ended Schemes,Kotak Mahindra Mutual Fund
105000, Sundaram Large and Midcap Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),nan,9.81440,Equity Scheme - Large & Mid Cap Fund,,Open Ended Schemes,Sundaram Mutual Fund
105001, Sundaram Large and Midcap Fund Regular Plan - Growth,nan,9.81440,Equity Scheme - Large & Mid Cap Fund,,Open Ended Schemes,Sundaram Mutual Fund
105024, Invesco India Treasury Advantage Fund - Regular Daily IDCW (Reinvestment),nan,10.00120,Debt Scheme - Low Duration Fund,,Open Ended Schemes,Invesco Mutual Fund
105025, Invesco India Treasury Advantage Fund - Daily IDCW (Reinvestment),nan,10.00100,Debt Scheme - Low Duration Fund,,Open Ended Schemes,Invesco Mutual Fund
105067, Franklin India INDEX FUND NIFTY PLAN - IDCW ,nan,29.31320,Other Scheme - Index Funds,,Open Ended Schemes,Franklin Templeton Mutual Fund
105080, SBI Magnum Ultra Short Duration Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),nan,16.75030,Debt Scheme - Ultra Short Duration Fund,,Open Ended Schemes,SBI Mutual Fund
105185, Invesco India Short Term Fund - Growth,nan,10.01150,Debt Scheme - Short Duration Fund,,Open Ended Schemes,Invesco Mutual Fund
105187, Invesco India Short Term Fund - Plan B - Monthly IDCW (Payout / Reinvestment),nan,10.00250,Debt Scheme - Short Duration Fund,,Open Ended Schemes,Invesco Mutual Fund
105189, Invesco India Short Term Fund - Plan B - Growth,nan,10.01180,Debt Scheme - Short Duration Fund,,Open Ended Schemes,Invesco Mutual Fund
105190, Invesco India Short Term Fund - Weekly IDCW (Reinvestment),nan,10.01150,Debt Scheme - Short Duration Fund,,Open Ended Schemes,Invesco Mutual Fund
105191, Invesco India Short Term Fund - Monthly IDCW (Payout / Reinvestment),nan,10.01150,Debt Scheme - Short Duration Fund,,Open Ended Schemes,Invesco Mutual Fund
105192, Invesco India Short Term Fund - Plan B - Weekly IDCW (Reinvestment),nan,10.00300,Debt Scheme - Short Duration Fund,,Open Ended Schemes,Invesco Mutual Fund
105229, Nippon India Interval Fund-Monthly Interval Fund-Series-I- Growth Option,nan,10.01180,Income,,Interval Fund Schemes,Nippon India Mutual Fund
105230, NIPPON INDIA MONTHLY INTERVAL FUND - SERIES I - IDCW Option,nan,10.01180,Income,,Interval Fund Schemes,Nippon India Mutual Fund
105232, Nippon India Interval Fund-Monthly Interval Fund-Series-I-Institutional Plan-Dividend Option,nan,10.01200,Income,,Interval Fund Schemes,Reliance Mutual Fund
105274, SBI Liquid Fund - Institutional - Growth,nan,12.02380,Debt Scheme - Liquid Fund,,Open Ended Schemes,SBI Mutual Fund
105275, SBI Liquid Fund - Institutional Daily Income Distribution cum Capital Withdrawal Option (IDCW),nan,10.03250,Debt Scheme - Liquid Fund,,Open Ended Schemes,SBI Mutual Fund
105278, SBI Liquid Fund - Institutional Weekly Income Distribution cum Capital Withdrawal Option (IDCW),nan,10.57830,Debt Scheme - Liquid Fund,,Open Ended Schemes,SBI Mutual Fund
105279, SBI Liquid Fund - Institutional Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),nan,10.12050,Debt Scheme - Liquid Fund,,Open Ended Schemes,SBI Mutual Fund
105280, SBI Liquid Fund - REGULAR PLAN -Growth,nan,0.00000,Debt Scheme - Liquid Fund,,Open Ended Schemes,SBI Mutual Fund
105281, SBI Liquid Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),nan,10.03440,Debt Scheme - Liquid Fund,,Open Ended Schemes,SBI Mutual Fund
105282, SBI Liquid Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),nan,0.00000,Debt Scheme - Liquid Fund,,Open Ended Schemes,SBI Mutual Fund
105283, SBI Liquid Fund - Regular Plan - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),nan,0.00000,Debt Scheme - Liquid Fund,,Open Ended Schemes,SBI Mutual Fund
105400, Nippon India Interval Fund-Monthly Interval Fund-Series-II -Growth Option,nan,10.02370,Income,,Interval Fund Schemes,Nippon India Mutual Fund
105401, NIPPON INDIA MONTHLY INTERVAL FUND - SERIES II - IDCW Option,nan,10.02370,Income,,Interval Fund Schemes,Nippon India Mutual Fund
105402, Nippon India Interval Fund-Monthly Interval Fund-Series-II-Institutional Plan-Dividend Option,nan,10.02400,Income,,Interval Fund Schemes,Reliance Mutual Fund
105417, Taurus Infrastructure Fund - Regular Plan - Growth,nan,10.03000,Equity Scheme - Sectoral/ Thematic,,Open Ended Schemes,Taurus Mutual Fund
105418, Taurus Infrastructure Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,nan,10.03000,Equity Scheme - Sectoral/ Thematic,,Open Ended Schemes,Taurus Mutual Fund
105433, Nippon India Interval Fund-Quarterly Interval Fund-Series-I - Growth Option,nan,10.00100,Income,,Interval Fund Schemes,Nippon India Mutual Fund
105434, NIPPON INDIA INTERVAL FUND - QUARTERLY PLAN - SERIES I - IDCW Option,nan,10.00100,Income,,Interval Fund Schemes,Nippon India Mutual Fund
105436, NIPPON INDIA INTERVAL FUND - QUARTERLY PLAN - SERIES I - INSTITUTIONAL IDCW Option,nan,10.00100,Income,,Interval Fund Schemes,Nippon India Mutual Fund
105459, Invesco India Contra Fund - IDCW (Payout / Reinvestment),nan,10.05000,Equity Scheme - Contra Fund,,Open Ended Schemes,Invesco Mutual Fund
105460, Invesco India Contra Fund - Growth,nan,10.05000,Equity Scheme - Contra Fund,,Open Ended Schemes,Invesco Mutual Fund
105461, Principal Low Duration Fund -Daily Income Distribution CUM Capital Withdrawal Option,nan,10.00000,Debt Scheme - Low Duration Fund,,Open Ended Schemes,Principal Mutual Fund
105463, UTI GOLD Exchange Traded Fund,nan,949.71810,Other Scheme - Gold ETF,,Open Ended Schemes,UTI Mutual Fund
105503, Invesco India Midcap Fund - Growth Option,nan,10.07000,Equity Scheme - Mid Cap Fund,,Open Ended Schemes,Invesco Mutual Fund
105504, Invesco India Midcap Fund - IDCW (Payout / Reinvestment),nan,10.07000,Equity Scheme - Mid Cap Fund,,Open Ended Schemes,Invesco Mutual Fund
105543, HDFC Low Duration  Fund - Monthly IDCW,nan,10.03390,Debt Scheme - Low Duration Fund,,Open Ended Schemes,HDFC Mutual Fund
105544, HDFC Low Duration Fund- Wholesale- Growth,nan,16.34890,Debt Scheme - Low Duration Fund,,Open Ended Schemes,HDFC Mutual Fund
105545, HDFC Low Duration Fund- Wholesale Weekly Dividend,nan,10.01640,Debt Scheme - Low Duration Fund,,Open Ended Schemes,HDFC Mutual Fund
105546, HDFC Low Duration Fund- Wholesale Monthly Dividend,nan,10.03390,Debt Scheme - Low Duration Fund,,Open Ended Schemes,HDFC Mutual Fund
105547, HDFC Low Duration Fund- Wholesale Daily Dividend,nan,10.03150,Debt Scheme - Low Duration Fund,,Open Ended Schemes,HDFC Mutual Fund
105548, HDFC Low Duration  Fund - Daily IDCW,nan,10.03150,Debt Scheme - Low Duration Fund,,Open Ended Schemes,HDFC Mutual Fund
105549, Sundaram Low Duration Fund Retail Plan - Weekly Income Distribution cum Capital Withdrawal (IDCW),nan,0.00000,Debt Scheme - Low Duration Fund,,Open Ended Schemes,Sundaram Mutual Fund
