scheme_code,scheme_name,Risk,nav,scheme_category,nfund_houseav,scheme_type,fund_house
142647, NIPPON INDIA FIXED HORIZON FUND - XXXVI - SERIES 7 - IDCW Option,nan,10.02620,IDF,,IL&FS Mutual Fund,Nippon India Mutual Fund
142648, Kotak FMP Series 218-Regular Plan-Dividend Option,nan,10.01990,1099 Days,,135488;INF174K01Y15;-;Kotak FMP Series 180,Kotak Mahindra Mutual Fund
142649, Kotak FMP Series 218-Direct Plan-Growth option,nan,10.02010,1099 Days,,135488;INF174K01Y15;-;Kotak FMP Series 180,Kotak Mahindra Mutual Fund
142650, Kotak FMP Series 218-Direct Plan-Dividend Option,nan,10.02010,1099 Days,,135488;INF174K01Y15;-;Kotak FMP Series 180,Kotak Mahindra Mutual Fund
142651, Kotak FMP Series 218-Regular Plan-Growth Option,nan,10.01990,1099 Days,,135488;INF174K01Y15;-;Kotak FMP Series 180,Kotak Mahindra Mutual Fund
142658, HDFC FMP 1158D February 2018 (1) - IDCW Option - Direct Plan,nan,9.99420,Income,,Close Ended Schemes,HDFC Mutual Fund
142659, HDFC FMP 1158D February 2018 (1) - Growth Option - Direct Plan,nan,9.99420,Income,,Close Ended Schemes,HDFC Mutual Fund
142660, HDFC FMP 1158D February 2018 (1) - Quarterly IDCW Option - Direct Plan,nan,9.99420,Income,,Close Ended Schemes,HDFC Mutual Fund
142661, HDFC FMP 1158D February 2018 (1) - IDCW Option,nan,9.99420,Income,,Close Ended Schemes,HDFC Mutual Fund
142662, HDFC FMP 1158D February 2018 (1) - Quarterly IDCW Option,nan,9.99420,Income,,Close Ended Schemes,HDFC Mutual Fund
142663, HDFC FMP 1158D February 2018 (1) - Growth Option,nan,9.99420,Income,,Close Ended Schemes,HDFC Mutual Fund
142664, Franklin India Fixed Maturity Plans - Series 3 - Plan B 1139 days - IDCW ,nan,10.00000,Income,,Close Ended Schemes,Franklin Templeton Mutual Fund
142665, Franklin India Fixed Maturity Plans - Series 3 - Plan B 1139 days -QTR - IDCW ,nan,10.00000,Income,,Close Ended Schemes,Franklin Templeton Mutual Fund
142666, Franklin India Fixed Maturity Plans- Series 3- Plan B (1139 days)- Quarterly Dividend-Direct,nan,10.00000,Income,,Close Ended Schemes,Franklin Templeton Mutual Fund
142667, Franklin India Fixed Maturity Plans- Series 3- Plan B (1139 days)- Growth,nan,10.00000,Income,,Close Ended Schemes,Franklin Templeton Mutual Fund
142668, Franklin India Fixed Maturity Plans- Series 3- Plan B (1139 days)- Growth- Direct,nan,10.00000,Income,,Close Ended Schemes,Franklin Templeton Mutual Fund
